Rooms,Type,Price,Method,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,SellerG,Suburb,date_month,date_year,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_weekly_price_count,airbnb_monthly_price_mean,airbnb_monthly_price_count
5,h,755000.0,PI,2016-05-14,13.5,3042.0,2.0,2.0,596.0,,,-37.7248,144.8699,Western Metropolitan,3464.0,Propertyau,Airport West,5,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,t,700000.0,PI,2016-10-15,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,Western Metropolitan,3464.0,Brad,Airport West,10,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,830000.0,S,2016-04-16,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,Western Metropolitan,3464.0,Barry,Airport West,4,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
2,u,462500.0,S,2016-07-16,13.5,3042.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863,Western Metropolitan,3464.0,Barry,Airport West,7,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,670000.0,SP,2016-07-16,13.5,3042.0,2.0,2.0,657.0,,,-37.7269,144.8742,Western Metropolitan,3464.0,Barry,Airport West,7,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
2,h,675000.0,S,2016-07-16,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,Western Metropolitan,3464.0,Barry,Airport West,7,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,1042000.0,S,2016-07-16,13.5,3042.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,Western Metropolitan,3464.0,Nelson,Airport West,7,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,910000.0,S,2016-09-17,13.5,3042.0,1.0,1.0,775.0,,,-37.7231,144.8835,Western Metropolitan,3464.0,McDonald,Airport West,9,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
4,h,773000.0,S,2016-09-17,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,Western Metropolitan,3464.0,Brad,Airport West,9,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,810000.0,PI,2017-03-18,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,Western Metropolitan,3464.0,Barry,Airport West,3,2017,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,715000.0,S,2017-03-18,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,Western Metropolitan,3464.0,Rendina,Airport West,3,2017,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,790000.0,S,2017-03-18,13.5,3042.0,1.0,3.0,614.0,,,-37.7194,144.8827,Western Metropolitan,3464.0,Nelson,Airport West,3,2017,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,t,540000.0,SP,2016-06-18,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,Western Metropolitan,3464.0,Nelson,Airport West,6,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,t,825000.0,SP,2016-11-19,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,Western Metropolitan,3464.0,Barry,Airport West,11,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,685000.0,S,2016-05-22,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,Western Metropolitan,3464.0,Barry,Airport West,5,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,805000.0,S,2016-08-22,13.5,3042.0,1.0,1.0,623.0,,,-37.7184,144.882,Western Metropolitan,3464.0,Barry,Airport West,8,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
2,u,510000.0,S,2016-08-22,13.5,3042.0,1.0,1.0,141.0,76.0,,-37.7202,144.8797,Western Metropolitan,3464.0,Nelson,Airport West,8,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,612000.0,S,2016-08-22,13.5,3042.0,2.0,1.0,212.0,,,-37.7181,144.8824,Western Metropolitan,3464.0,Nelson,Airport West,8,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,662000.0,S,2016-04-23,13.5,3042.0,1.0,2.0,612.0,,,-37.7169,144.8815,Western Metropolitan,3464.0,Brad,Airport West,4,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
4,h,978000.0,S,2016-09-24,13.5,3042.0,3.0,2.0,532.0,,,-37.7263,144.869,Western Metropolitan,3464.0,Nelson,Airport West,9,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
3,h,720000.0,PI,2017-02-25,13.5,3042.0,1.0,1.0,585.0,,,-37.72,144.878,Western Metropolitan,3464.0,Nelson,Airport West,2,2017,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
4,h,765000.0,S,2016-11-27,13.5,3042.0,1.0,2.0,509.0,,,-37.7261,144.8785,Western Metropolitan,3464.0,Prof.,Airport West,11,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
4,h,900000.0,S,2016-11-27,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,Western Metropolitan,3464.0,Harcourts,Airport West,11,2016,3042.0,81.57142857142857,35.0,0.22374785885577253,5.0,0.14945483059918846,4.0
2,h,1275000.0,S,2016-09-03,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,Southern Metropolitan,3280.0,hockingstuart,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1455000.0,S,2016-09-03,3.3,3206.0,1.0,0.0,159.0,,,-37.845,144.9538,Southern Metropolitan,3280.0,Thomson,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1850000.0,S,2017-03-04,3.3,3206.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,Southern Metropolitan,3280.0,Greg,Albert Park,3,2017,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1436000.0,S,2017-03-04,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,Southern Metropolitan,3280.0,RT,Albert Park,3,2017,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1110000.0,S,2016-08-06,3.3,3206.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484,Southern Metropolitan,3280.0,Marshall,Albert Park,8,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1550000.0,S,2016-05-07,3.3,3206.0,1.0,1.0,167.0,,,-37.8405,144.9521,Southern Metropolitan,3280.0,Sotheby's,Albert Park,5,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
4,h,2300000.0,S,2016-05-07,3.3,3206.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,Southern Metropolitan,3280.0,Marshall,Albert Park,5,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,t,1550000.0,VB,2016-11-07,3.3,3206.0,2.0,2.0,718.0,,,-37.8443,144.9598,Southern Metropolitan,3280.0,Marshall,Albert Park,11,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1800000.0,VB,2016-11-07,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,Southern Metropolitan,3280.0,Greg,Albert Park,11,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,2120000.0,S,2016-09-10,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,Southern Metropolitan,3280.0,Greg,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1800000.0,VB,2016-09-10,3.3,3206.0,1.0,1.0,253.0,,,-37.8443,144.9579,Southern Metropolitan,3280.0,Cayzer,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1800000.0,S,2016-09-10,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,Southern Metropolitan,3280.0,Marshall,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1810000.0,PI,2016-12-10,3.3,3206.0,1.0,0.0,240.0,,,-37.8379,144.9539,Southern Metropolitan,3280.0,Greg,Albert Park,12,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
5,h,2100000.0,S,2016-12-10,3.3,3206.0,2.0,1.0,237.0,,,-37.8436,144.9557,Southern Metropolitan,3280.0,Greg,Albert Park,12,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1300000.0,S,2016-12-10,3.3,3206.0,1.0,0.0,129.0,,,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,hockingstuart,Albert Park,12,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1370000.0,S,2016-06-12,3.3,3206.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,Southern Metropolitan,3280.0,Greg,Albert Park,6,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1000000.0,S,2016-11-12,3.3,3206.0,1.0,0.0,288.0,,,-37.8407,144.9523,Southern Metropolitan,3280.0,Cayzer,Albert Park,11,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1322500.0,S,2016-10-15,3.3,3206.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,Southern Metropolitan,3280.0,Greg,Albert Park,10,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1562500.0,S,2016-10-15,3.3,3206.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan,3280.0,Greg,Albert Park,10,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,2000000.0,VB,2016-04-16,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,Southern Metropolitan,3280.0,RT,Albert Park,4,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,1900000.0,S,2017-03-18,3.3,3206.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546,Southern Metropolitan,3280.0,Greg,Albert Park,3,2017,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,u,647000.0,S,2016-05-22,3.3,3206.0,1.0,1.0,0.0,,,-37.846,144.9542,Southern Metropolitan,3280.0,Greg,Albert Park,5,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,2100000.0,SP,2016-04-23,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,Southern Metropolitan,3280.0,Marshall,Albert Park,4,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
3,h,2000000.0,PI,2016-09-24,3.3,3206.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,Southern Metropolitan,3280.0,Marshall,Albert Park,9,2016,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
1,u,442500.0,S,2017-02-25,3.3,3206.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,Southern Metropolitan,3280.0,Marshall,Albert Park,2,2017,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
2,h,1340000.0,S,2017-02-25,3.3,3206.0,1.0,0.0,136.0,,,-37.846,144.9517,Southern Metropolitan,3280.0,Greg,Albert Park,2,2017,3206.0,229.41803278688525,122.0,0.5631517643028434,25.0,0.39008239774962034,19.0
